"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"MUNICIPIO";500625;21;0;2;3;18;0;3;4;1;10;16;5;2;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500627;14;0;2;4;10;0;2;5;1;2;8;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500630;322;0;30;30;292;20;41;114;47;70;179;143;29;0;2;1;1;3;1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0
2016;"MUNICIPIO";500635;80;0;9;27;53;1;3;18;5;26;51;29;6;0;3;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500640;51;0;3;8;43;1;11;12;8;11;32;19;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500660;626;0;69;95;531;36;82;180;72;161;380;246;45;0;15;7;8;9;9;0;0;6;0;2;0;0;0;1;1;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";500690;88;0;7;9;79;4;15;26;5;29;52;36;6;0;1;0;1;0;0;0;0;0;1;2;1;0;0;1;0;2;2;0;0;1;1;0;0
2016;"MUNICIPIO";500710;98;0;6;20;78;3;14;22;14;25;67;31;7;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500720;189;0;15;18;171;7;29;54;22;59;125;64;9;0;3;3;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500730;33;0;1;6;27;2;6;8;4;7;23;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500740;142;0;8;21;121;6;22;36;21;36;88;54;8;0;3;3;0;2;1;0;0;2;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";500750;12;0;0;3;9;1;2;0;0;6;10;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500755;30;0;2;9;21;0;4;9;3;5;21;9;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500769;123;0;8;20;103;6;25;28;20;24;81;42;9;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500770;63;0;3;14;49;3;8;16;7;15;46;17;4;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500780;59;0;7;7;52;3;11;13;11;14;36;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500790;245;0;15;29;216;8;42;81;36;49;152;93;15;0;6;3;3;4;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500793;67;0;10;11;56;0;12;27;3;14;36;31;10;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
2016;"MUNICIPIO";500795;75;0;6;18;57;2;11;18;7;19;47;28;4;0;3;2;1;3;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0
2016;"MUNICIPIO";500797;26;0;1;4;22;0;4;8;4;6;19;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500800;92;0;6;12;80;4;14;30;11;21;54;38;6;0;3;1;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"MUNICIPIO";500830;744;0;40;94;650;30;127;220;89;184;447;297;36;0;10;5;5;4;6;0;0;4;0;3;1;0;0;1;1;2;2;1;0;1;0;0;0
2016;"MUNICIPIO";500840;53;0;2;4;49;3;7;14;5;20;30;23;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
